IMT,IMD,TREATMENT
1050,85.1586754242,CONTROL
840,20.2484567313,CONTROL
1020,56.8242905807,CONTROL
1065,33.1058907145,CONTROL
1170,57.8705451849,CONTROL
1020,47.539457296,CONTROL
1125,22.0227155455,CONTROL
1335,67.1192967782,CONTROL
1050,22.6715680975,CONTROL
1320,16.1245154966,CONTROL
1215,54.4518135602,CONTROL
1365,62.3698645181,CONTROL
1335,55.8659108939,CONTROL
1170,21.0237960416,CONTROL
1035,71.5052445629,CONTROL
1065,29.0,CONTROL
930,7.07106781187,CONTROL
1350,31.2569992162,CONTROL
1245,48.7647413609,CONTROL
945,17.0880074906,CONTROL
1245,64.5368112011,CONTROL
1095,48.9182992345,CONTROL
1065,24.1867732449,CONTROL
1260,44.4072066223,CONTROL
975,17.0293863659,CONTROL
1155,76.0591874792,CONTROL
1200,44.0454310911,CONTROL
1350,31.0161248385,CONTROL
1050,11.6619037897,CONTROL
870,40.162171256,CONTROL
1005,35.8050275799,CONTROL
1035,36.0555127546,CONTROL
570,47.5078940809,CONTROL
1455,51.0,CONTROL
1005,65.192024052,CONTROL
990,35.3553390593,CONTROL
1050,48.8364617883,CONTROL
1455,45.0111097397,CONTROL
2130,33.6154726279,CONTROL
1005,26.4764045897,CONTROL
990,25.179356624,CONTROL
1050,7.21110255093,CONTROL
1200,2.82842712475,CONTROL
1350,42.7551166529,CONTROL
1890,16.4924225025,CONTROL
1470,14.1421356237,CONTROL
2085,31.8904374382,CONTROL
2190,10.8166538264,CONTROL
1290,57.0701322935,CONTROL
2145,64.0780773744,CONTROL
2370,60.811183182,CONTROL
3300,153.951290998,CONTROL
1125,39.5600808897,CONTROL
1320,33.1360830516,CONTROL
1845,44.4072066223,CONTROL
1005,76.9415362467,CONTROL
1065,111.400179533,CONTROL
1185,66.8879660328,CONTROL
1455,97.0154626851,CONTROL
1965,47.0956473573,CONTROL
1005,33.2866339542,CONTROL
1440,33.0151480384,CONTROL
1980,14.1421356237,CONTROL
1395,29.0688837075,CONTROL
1815,25.9615099715,CONTROL
1290,14.3178210633,CONTROL
1980,11.401754251,CONTROL
1140,118.190524155,CONTROL
1005,15.8113883008,CONTROL
2175,50.219518118,CONTROL
1155,57.5586657246,CONTROL
2085,21.3775583264,CONTROL
1170,13.4536240471,CONTROL
1245,9.48683298051,CONTROL
2205,17.0293863659,CONTROL
1140,53.712196008,CONTROL
1515,18.1107702763,CONTROL
1545,16.2788205961,CONTROL
1020,71.1688133946,CONTROL
1590,14.0356688476,CONTROL
1155,31.0483493925,CONTROL
1155,12.0415945788,CONTROL
1050,7.07106781187,CONTROL
1050,22.2036033112,CONTROL
1350,22.825424421,CONTROL
1275,17.0293863659,CONTROL
1260,42.0475920833,CONTROL
1080,31.4006369362,CONTROL
1155,2.2360679775,CONTROL
1290,29.206163733,CONTROL
1065,29.6816441593,CONTROL
1035,14.3178210633,CONTROL
1065,57.9827560573,CONTROL
1020,25.2388589282,CONTROL
1170,71.4002801115,CONTROL
1215,31.1448230048,CONTROL
1110,9.21954445729,CONTROL
1050,39.3192065027,CONTROL
1065,35.8468966579,CONTROL
1095,17.4928556845,CONTROL
1035,24.1867732449,CONTROL
1350,52.810983706,CONTROL
1155,47.6340214553,CONTROL
1275,22.4722050542,CONTROL
1365,27.892651362,CONTROL
1380,38.1182371051,CONTROL
1215,20.0,CONTROL
1215,45.5411901469,CONTROL
1455,56.3205113613,CONTROL
1335,37.6563407675,CONTROL
1200,21.6333076528,CONTROL
1125,51.0098029794,CONTROL
1215,40.8044115262,CONTROL
1185,35.2278299076,CONTROL
1305,74.9466476902,CONTROL
930,28.1602556807,CONTROL
1230,8.94427191,CONTROL
1215,39.0,CONTROL
1275,24.6981780705,CONTROL
1155,26.6270539114,CONTROL
1230,16.4012194669,CONTROL
1110,18.973665961,CONTROL
1260,29.1547594742,CONTROL
1260,27.4590604355,CONTROL
1215,19.1049731745,CONTROL
1530,37.947331922,CONTROL
2550,45.9673797382,CONTROL
2655,37.5366487582,CONTROL
1050,31.1448230048,CONTROL
1080,12.0830459736,CONTROL
1245,18.4390889146,CONTROL
2475,104.004807581,CONTROL
2010,96.8762096699,CONTROL
1605,32.5576411922,CONTROL
1020,13.9283882772,CONTROL
1980,75.7693869581,CONTROL
1515,20.3960780544,CONTROL
1170,30.61045573,CONTROL
975,36.8781778292,CONTROL
1650,21.2602916255,CONTROL
1065,51.2445119013,CONTROL
1980,23.8537208838,CONTROL
1620,41.3037528561,CONTROL
1155,13.0384048104,CONTROL
1290,9.8488578018,CONTROL
1350,33.1360830516,CONTROL
1425,32.6496554346,CONTROL
1500,80.0562302385,CONTROL
1245,6.40312423743,CONTROL
1095,12.6491106407,CONTROL
1560,46.872166581,CONTROL
1170,22.825424421,CONTROL
1200,64.6606526413,CONTROL
1755,58.6003412959,CONTROL
975,28.6356421266,CONTROL
1050,42.7551166529,CONTROL
1065,63.0713881249,CONTROL
1890,13.6014705087,CONTROL
1395,16.4012194669,CONTROL
1875,71.1125867902,CONTROL
2520,58.1893461039,CONTROL
1035,24.8394846967,CONTROL
1260,36.6878726557,CONTROL
1155,84.1724420461,CONTROL
1110,18.0277563773,CONTROL
900,27.2029410175,CONTROL
1545,37.0,CONTROL
1080,35.5105618091,CONTROL
1230,45.6179789118,CONTROL
975,39.0512483795,CONTROL
1065,28.231188427,CONTROL
990,29.1547594742,CONTROL
1095,19.1049731745,CONTROL
930,17.4642491966,CONTROL
1200,20.1246117975,CONTROL
1230,14.3178210633,CONTROL
1815,17.0293863659,CONTROL
1050,46.0977222865,CONTROL
1185,32.8024389337,CONTROL
1215,72.9931503636,CONTROL
1140,81.2219182241,CONTROL
1050,52.2398315464,CONTROL
930,22.2036033112,CONTROL
1275,27.2946881279,CONTROL
960,59.4138031101,CONTROL
1065,10.8166538264,CONTROL
1020,24.5967477525,CONTROL
1065,39.0512483795,CONTROL
1080,81.4125297482,CONTROL
930,20.2237484162,CONTROL
1200,20.2484567313,CONTROL
1035,11.7046999107,CONTROL
975,40.1995024845,CONTROL
990,14.4222051019,CONTROL
1170,14.5602197786,CONTROL
1035,21.0237960416,CONTROL
1185,19.9248588452,CONTROL
1395,22.2036033112,CONTROL
1335,5.0,CONTROL
975,63.2455532034,CONTROL
1005,17.4642491966,CONTROL
1095,14.7648230602,CONTROL
1140,19.8494332413,CONTROL
1095,13.0384048104,CONTROL
1290,23.0217288664,CONTROL
1200,44.72135955,CONTROL
1110,18.6010752377,CONTROL
1050,5.38516480713,CONTROL
960,49.8196748283,CONTROL
1035,50.1597448159,CONTROL
1125,65.6201188661,CONTROL
1035,18.3847763109,CONTROL
1065,17.4642491966,CONTROL
1050,40.3112887415,CONTROL
1020,33.3016516107,CONTROL
1215,55.0726792521,CONTROL
1260,58.8982172905,CONTROL
1335,81.4923309275,CONTROL
1050,58.7962583844,CONTROL
1005,34.2344855372,CONTROL
1035,48.9182992345,CONTROL
1395,31.7647603485,CONTROL
1290,21.6333076528,CONTROL
1260,16.6433169771,CONTROL
1230,36.7151195014,CONTROL
1380,5.0,CONTROL
1065,40.7062648741,CONTROL
1080,6.40312423743,CONTROL
1185,11.0453610172,CONTROL
1365,45.5411901469,CONTROL
1245,8.24621125124,CONTROL
1305,49.0917508345,CONTROL
930,22.627416998,CONTROL
1095,6.40312423743,CONTROL
915,32.5576411922,CONTROL
1095,60.141499815,CONTROL
1140,81.0061726043,CONTROL
1485,64.6374504448,CONTROL
1335,30.5941170816,CONTROL
1035,35.5105618091,CONTROL
990,14.0356688476,CONTROL
1320,32.0156211872,CONTROL
1170,34.9284983931,CONTROL
1020,41.400483089,CONTROL
1155,33.5261092285,CONTROL
960,18.4390889146,CONTROL
1035,38.4707681233,CONTROL
1020,25.079872408,CONTROL
1125,24.5153013443,CONTROL
1065,17.0880074906,CONTROL
990,48.3011387029,CONTROL
1350,55.9464029228,CONTROL
1005,25.632011236,CONTROL
960,35.902646142,CONTROL
915,6.0827625303,CONTROL
1215,17.691806013,CONTROL
1035,10.6301458127,CONTROL
1140,22.2036033112,CONTROL
1275,55.6057550978,CONTROL
1695,36.235341864,CONTROL
1095,24.1660919472,CONTROL
1080,21.0950231097,CONTROL
1065,21.0237960416,CONTROL
1125,15.8113883008,CONTROL
1320,37.5765884561,CONTROL
1245,25.6124969497,CONTROL
1290,1.0,CONTROL
1290,47.5078940809,CONTROL
1455,49.9799959984,CONTROL
1110,18.0277563773,CONTROL
3060,126.657017176,CONTROL
3795,85.0881895447,CONTROL
1125,37.4432904537,CONTROL
1110,51.4781507049,CONTROL
1095,25.9422435421,CONTROL
960,11.6619037897,CONTROL
1125,81.6088230524,CONTROL
1170,37.1214223865,CONTROL
1335,16.4924225025,CONTROL
2760,35.4682957019,CONTROL
990,59.8414572015,CONTROL
1065,0.0,CONTROL
1335,31.384709653,CONTROL
1245,50.3289181286,CONTROL
1335,31.304951685,CONTROL
1290,25.495097568,CONTROL
1335,17.4642491966,CONTROL
1260,64.8151216924,CONTROL
1110,21.9317121995,CONTROL
1140,0.0,CONTROL
1200,14.3178210633,CONTROL
1050,25.4558441227,CONTROL
1140,27.2029410175,CONTROL
1335,28.4429253067,CONTROL
1200,40.4969134626,CONTROL
1050,14.1421356237,CONTROL
1275,53.16013544,CONTROL
1380,24.2074368738,CONTROL
1080,32.2490309932,CONTROL
1380,35.6089876295,CONTROL
1275,16.1554944214,CONTROL
1200,71.3442359269,CONTROL
1350,25.2388589282,CONTROL
1170,31.7647603485,CONTROL
1200,58.7962583844,CONTROL
1155,44.687805943,CONTROL
1200,23.3238075794,CONTROL
1590,20.6155281281,CONTROL
1170,16.1245154966,CONTROL
1185,9.21954445729,CONTROL
1245,10.6301458127,CONTROL
1215,22.2036033112,CONTROL
1200,48.2700735446,CONTROL
1125,23.7065391823,CONTROL
1170,28.0178514522,CONTROL
1125,17.0880074906,CONTROL
1170,11.0453610172,CONTROL
1170,16.1245154966,CONTROL
960,37.1618083521,CONTROL
930,36.6742416418,CONTROL
1200,26.5706605112,CONTROL
1185,19.4164878389,CONTROL
